sh000001	上证指数
sh000016	上证50
sh000905	中证500
sz399001	深圳成指
sh000300	沪深300
sz399006	创业板指
sh204001	GC001
sh601398	工商银行
sh601857	中国石油
sh601939	建设银行
sh601288	农业银行
sh601988	中国银行
sh601318	中国平安
sh601628	中国人寿
sh600028	中国石化
sh600036	招商银行
sh601328	交通银行
sh600519	贵州茅台
sh600000	浦发银行
sh600016	民生银行
sh601088	中国神华
sh601166	兴业银行
sh601998	中信银行
sh600900	长江电力
sz000002	万 科Ａ
sh601601	中国太保
sh600104	上汽集团
sh601766	中国中车
sh601668	中国建筑
sh601800	中国交建
sh600030	中信证券
sh601390	中国中铁
sh600837	海通证券
sh601818	光大银行
sz000333	美的集团
sz000001	平安银行
sz300498	温氏股份
sz002594	比亚迪
sz002415	海康威视
sh601238	广汽集团
sh601688	华泰证券
sh601169	北京银行
sz002027	分众传媒
sh601186	中国铁建
sz002736	国信证券
sh601211	国泰君安
sz000651	格力电器
sz000858	五 粮 液
sz001979	招商蛇口
sz000776	广发证券
sh601336	新华保险
sz000166	申万宏源
sh600999	招商证券
sh601989	中国重工
sh600018	上港集团
sh600919	江苏银行
sh601727	上海电气
sh600015	华夏银行
sh600606	绿地控股
sh600011	华能国际
sh600048	保利地产
sh600050	中国联通
sh600276	恒瑞医药
sz002252	上海莱士
sh600887	伊利股份
sh601985	中国核电
sz002304	洋河股份
sz002024	苏宁云商
sh601006	大秦铁路
sh600958	东方证券
sh601111	中国国航
sh601633	长城汽车
sh601669	中国电建
sh600233	圆通速递
sh600019	宝钢股份
sh600010	包钢股份
sh600115	东方航空
sh600585	海螺水泥
sh601898	中煤能源
sz300104	乐视网
sz000725	京东方Ａ
sh600518	康美药业
sh603288	海天味业
sz002558	世纪游轮
sz002797	第一创业
sh600340	华夏幸福
sh601618	中国中冶
sh600663	陆家嘴
sz002739	万达院线
sh601788	光大证券
sz000625	长安汽车
sz000895	双汇发展
sh600547	山东黄金
sh600023	浙能电力
sz000538	云南白药
sz300059	东方财富
sh601899	紫金矿业
sh600029	南方航空
sh601018	宁波港
sh600893	中航动力
sz002673	西部证券
sz000413	东旭光电
sz002142	宁波银行
sh601225	陕西煤业
sz002010	传化股份
sh603993	洛阳钼业
sz000063	中兴通讯
sh601198	东兴证券
sz000938	紫光股份
sh600688	上海石化
sh601009	南京银行
sh600637	东方明珠
sh600188	兖州煤业
sz002450	康得新
sh600690	青岛海尔
sh601901	方正证券
sz000768	中航飞机
sz000783	长江证券
sh600705	中航资本
sh600061	国投安信
sh600926	杭州银行
sh600795	国电电力
sh601600	中国铝业
sh601808	中海油服
sz300070	碧水源
sh600482	中国动力
sz000069	华侨城Ａ
sz000564	西安民生
sh600871	石化油服
sz300433	蓝思科技
sh600649	城投控股
sh600196	复星医药
sh601919	中国远洋
sh600221	海南航空
sh600383	金地集团
sz000046	泛海控股
sh600977	中国电影
