000001 上证指数 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/06/23	0931	2902.39	2902.39	2898.33	2898.40	237957	0.00
2016/06/23	0932	2898.40	2899.06	2898.05	2898.42	109300	0.00
2016/06/23	0933	2898.63	2900.31	2898.63	2899.58	113576	0.00
2016/06/23	0934	2899.79	2900.62	2899.79	2900.19	114927	0.00
2016/06/23	0935	2899.93	2900.30	2899.37	2900.27	102476	0.00
2016/06/23	0936	2899.45	2899.45	2896.89	2897.08	144064	0.00
2016/06/23	0937	2896.75	2897.11	2895.50	2896.04	124592	0.00
2016/06/23	0938	2895.53	2895.87	2894.52	2894.98	118217	0.00
2016/06/23	0939	2895.80	2896.64	2895.23	2896.64	121196	0.00
2016/06/23	0940	2896.29	2897.31	2896.21	2896.95	112874	0.00
2016/06/23	0941	2897.05	2898.92	2897.05	2897.91	103559	0.00
2016/06/23	0942	2898.98	2899.57	2898.37	2899.17	109543	0.00
2016/06/23	0943	2899.20	2900.00	2898.92	2899.23	106513	0.00
2016/06/23	0944	2899.51	2900.03	2898.95	2899.87	105012	0.00
2016/06/23	0945	2899.32	2900.11	2899.16	2900.07	104001	0.00
2016/06/23	0946	2899.92	2899.92	2898.00	2898.00	115588	0.00
2016/06/23	0947	2898.74	2898.74	2897.67	2898.00	111154	0.00
2016/06/23	0948	2897.53	2897.85	2896.63	2896.98	100475	0.00
2016/06/23	0949	2896.86	2897.90	2896.72	2896.80	94920	0.00
2016/06/23	0950	2896.87	2898.00	2896.87	2897.71	93612	0.00
2016/06/23	0951	2898.32	2898.82	2897.97	2898.82	92167	0.00
2016/06/23	0952	2898.70	2899.17	2897.97	2898.00	96478	0.00
2016/06/23	0953	2897.92	2898.30	2896.64	2896.64	108700	0.00
2016/06/23	0954	2897.13	2897.44	2896.81	2897.31	90580	0.00
2016/06/23	0955	2897.16	2897.16	2896.24	2896.67	113143	0.00
2016/06/23	0956	2896.67	2897.27	2896.22	2896.93	98721	0.00
2016/06/23	0957	2896.74	2897.13	2896.10	2896.62	94559	0.00
2016/06/23	0958	2897.23	2897.23	2896.40	2896.96	85612	0.00
2016/06/23	0959	2896.39	2896.88	2895.76	2895.77	92940	0.00
2016/06/23	1000	2894.73	2895.70	2893.44	2893.44	133322	0.00
2016/06/23	1001	2893.20	2893.56	2891.67	2891.77	134276	0.00
2016/06/23	1002	2892.03	2892.03	2891.12	2891.14	119890	0.00
2016/06/23	1003	2891.64	2892.36	2891.16	2892.36	107741	0.00
2016/06/23	1004	2891.87	2893.32	2891.87	2893.32	92365	0.00
2016/06/23	1005	2893.72	2894.36	2892.82	2893.78	82261	0.00
2016/06/23	1006	2894.16	2894.88	2894.03	2894.53	77842	0.00
2016/06/23	1007	2894.65	2895.24	2893.84	2895.19	75972	0.00
2016/06/23	1008	2894.99	2894.99	2894.17	2894.91	73900	0.00
2016/06/23	1009	2894.91	2895.26	2894.50	2895.23	63630	0.00
2016/06/23	1010	2895.32	2896.38	2895.19	2896.38	83649	0.00
2016/06/23	1011	2896.46	2897.36	2895.95	2897.12	83580	0.00
2016/06/23	1012	2897.67	2898.10	2897.26	2897.82	78296	0.00
2016/06/23	1013	2897.67	2898.02	2896.23	2897.81	79097	0.00
2016/06/23	1014	2897.42	2897.78	2896.82	2897.65	70601	0.00
2016/06/23	1015	2897.57	2898.15	2896.89	2896.89	68003	0.00
2016/06/23	1016	2897.66	2898.03	2896.55	2897.96	70430	0.00
2016/06/23	1017	2897.87	2898.63	2897.63	2898.37	73869	0.00
2016/06/23	1018	2898.81	2899.65	2898.11	2899.64	92680	0.00
2016/06/23	1019	2899.33	2900.97	2899.33	2900.97	95547	0.00
2016/06/23	1020	2900.93	2902.02	2900.60	2901.43	95026	0.00
2016/06/23	1021	2901.97	2902.93	2901.46	2902.73	90684	0.00
2016/06/23	1022	2902.15	2903.40	2902.15	2902.27	82070	0.00
2016/06/23	1023	2902.58	2903.20	2902.58	2903.09	74984	0.00
2016/06/23	1024	2902.51	2903.47	2902.33	2902.39	71669	0.00
2016/06/23	1025	2902.58	2903.82	2902.34	2903.18	68920	0.00
2016/06/23	1026	2903.23	2904.03	2903.19	2903.51	66830	0.00
2016/06/23	1027	2903.90	2903.90	2903.00	2903.57	64553	0.00
2016/06/23	1028	2903.58	2903.89	2903.29	2903.88	63718	0.00
2016/06/23	1029	2903.45	2903.64	2902.28	2902.61	64573	0.00
2016/06/23	1030	2902.38	2903.33	2901.60	2902.30	59433	0.00
2016/06/23	1031	2902.24	2902.24	2900.68	2900.68	70543	0.00
2016/06/23	1032	2900.32	2901.83	2900.32	2901.05	65472	0.00
2016/06/23	1033	2900.53	2901.34	2900.53	2901.34	65080	0.00
2016/06/23	1034	2901.30	2901.38	2900.05	2900.79	65736	0.00
2016/06/23	1035	2900.96	2901.00	2899.87	2900.52	59733	0.00
2016/06/23	1036	2900.17	2900.76	2899.98	2900.43	60679	0.00
2016/06/23	1037	2900.50	2900.59	2899.73	2900.59	62295	0.00
2016/06/23	1038	2900.45	2900.72	2899.61	2899.61	67225	0.00
2016/06/23	1039	2899.72	2900.07	2899.12	2900.07	67460	0.00
2016/06/23	1040	2899.75	2899.75	2898.45	2898.45	63128	0.00
2016/06/23	1041	2898.59	2898.86	2897.77	2898.04	74742	0.00
2016/06/23	1042	2898.07	2898.37	2897.35	2897.35	67084	0.00
2016/06/23	1043	2897.66	2897.92	2897.04	2897.61	60038	0.00
2016/06/23	1044	2897.96	2898.53	2897.15	2898.25	59415	0.00
2016/06/23	1045	2897.37	2898.75	2897.37	2898.71	57767	0.00
2016/06/23	1046	2898.54	2899.13	2898.02	2899.13	54302	0.00
2016/06/23	1047	2897.70	2898.60	2897.46	2898.02	60667	0.00
2016/06/23	1048	2898.28	2898.28	2897.16	2897.16	58680	0.00
2016/06/23	1049	2897.57	2897.66	2896.63	2896.69	66311	0.00
2016/06/23	1050	2897.04	2897.13	2896.11	2896.66	50507	0.00
2016/06/23	1051	2896.94	2896.94	2895.66	2896.07	57370	0.00
2016/06/23	1052	2896.07	2896.53	2895.18	2895.18	59446	0.00
2016/06/23	1053	2895.52	2896.33	2894.56	2896.33	62597	0.00
2016/06/23	1054	2895.30	2895.61	2894.79	2895.13	56945	0.00
2016/06/23	1055	2895.69	2895.70	2894.54	2894.80	58638	0.00
2016/06/23	1056	2894.51	2895.54	2894.22	2894.39	79397	0.00
2016/06/23	1057	2894.47	2894.74	2893.51	2894.37	79648	0.00
2016/06/23	1058	2893.78	2893.86	2892.91	2892.93	78775	0.00
2016/06/23	1059	2892.41	2893.18	2892.07	2892.77	74026	0.00
2016/06/23	1100	2892.68	2893.38	2892.24	2892.69	65010	0.00
2016/06/23	1101	2893.24	2894.29	2892.52	2893.72	59269	0.00
2016/06/23	1102	2893.70	2895.21	2893.38	2894.06	57049	0.00
2016/06/23	1103	2894.34	2895.81	2894.08	2895.35	51952	0.00
2016/06/23	1104	2894.50	2895.80	2894.28	2894.28	45096	0.00
2016/06/23	1105	2894.45	2895.76	2894.19	2895.02	44339	0.00
2016/06/23	1106	2894.16	2895.92	2894.16	2895.20	42377	0.00
2016/06/23	1107	2894.54	2896.37	2894.53	2894.53	40855	0.00
2016/06/23	1108	2894.58	2896.02	2894.57	2895.40	45405	0.00
2016/06/23	1109	2895.60	2896.44	2895.48	2896.09	42205	0.00
2016/06/23	1110	2896.08	2896.60	2895.29	2895.65	46786	0.00
2016/06/23	1111	2895.96	2896.21	2892.57	2892.57	91894	0.00
2016/06/23	1112	2892.41	2892.80	2889.63	2889.63	139381	0.00
2016/06/23	1113	2889.45	2889.45	2887.72	2887.72	135657	0.00
2016/06/23	1114	2887.74	2887.94	2886.32	2886.69	115632	0.00
2016/06/23	1115	2886.64	2886.86	2885.37	2885.37	101458	0.00
2016/06/23	1116	2885.84	2885.84	2885.24	2885.69	84371	0.00
2016/06/23	1117	2885.25	2886.22	2885.12	2886.22	75148	0.00
2016/06/23	1118	2885.69	2887.19	2885.69	2887.09	58086	0.00
2016/06/23	1119	2887.55	2888.45	2886.93	2887.93	56591	0.00
2016/06/23	1120	2887.68	2888.32	2887.11	2887.11	63473	0.00
2016/06/23	1121	2887.18	2887.29	2886.29	2886.29	61449	0.00
2016/06/23	1122	2886.09	2886.70	2885.15	2885.15	62508	0.00
