Date,weekday,Margin,All position,Equity,Return,Trade pnl,Trade pnl buy,Trade pnl sell,MTM,GC001+Stock divs+Interest,Net,Actual Change,Note,Delta bought,Delta Sold,Rtn on +D,Rtn on -D,Delta close,IB Close,NetPtf,Deposit (in RMB),,Actual ptf change
2016/12/5,1,0,1446703,1446703,-0.0083,-4235.78,-4235.78,0,-8000,97.08,-12138.7,-12142.7,60% Losses came from the Friday mtm from 东阿阿胶.  -4k trading pnl. -2.6k 东方财富/ -1.6k 伊利/ 广发证券 -0.9k,589945,0,-0.007,,1163346,863100,2236414,,,
2016/12/6,2,0,1444491,1444491,-0.0015,-553.45,-248.94,-304.51,-1700,40.69,-2212.76,-2212.76,"Sold 苏宁云商 after the spike, continued to rally after that. Rest of the position quietly bled 1700. (东方财富 -4k mtm, 东阿阿胶 +1k, 美的 +1k, 广发 +0.6, 大秦 -0.6, 掌趣 -1, 伊利 +0.6). Keep each stock light exposure. <10% of ptf. ",44720,67088,-0.006,-0.005,1140978,863100,2224271,,-0.0054,-12143
2016/12/7,3,0,1447083,1447083,0.0018,-2363.62,709.62,-3073.24,4970,-14,2592.38,2592.37,"伊利 had the best mtm @ 1200, ",41015,924911,0.017,-0.003,257082,863100,2222058,,-0.001,-2213
2016/12/8,4,0,1447090,1447090,0,287.9,0,287.9,-360,79.33333,7.23,7.23,,0,41715,,0.007,215367,863100,2224651,,0.0012,2592
2016/12/9,5,0,1466621,1466621,0.0135,19346.84,19346.84,0,0,183.89,19530.73,19530.72,"中国船舶: 10k, 中国建筑:7k, 格力:0.5,驰宏0.6, 东财0.2",444171,0,0.044,,659538,863100,2224658,,0,7
2016/12/12,1,0,1452394,1452394,-0.0097,9279.59,-7514.32,16793.91,-23565,58.5,-14226.91,-14226.9,"trade pnl buy: maotai : -4.3k, 比亚迪 -3.3k, 兴业平安 +. Sell: 驰宏: +5, 东财: +4.3, 格力:+0.9, 中国船舶: +5.1, 中国建筑: +1.4. MTM: 驰宏: -5, 东财: -4.7, 格力: -2.5, 船舶: -6.8, 建筑 -4.5",349017,457400,-0.022,0.037,551155,863100,2244188,,0.0088,19531
2016/12/13,2,0,1473984,1473984,0.0149,18207.51,18527.35,-319.84,2781,601.9111,21590.42,21590.41,"trade pnl buy: 宝钢: +6, 世纪华通 +9, 泸州老窖 +3,茅台:+1.4, 掌趣科技: -0.5, 平安 -0.9. Sell: -0.6. MTM: 茅台+3, 平安 -0.5, 兴业 -0.5, 比亚迪 +0.6",1058442,344458,0.018,-0.001,1265139,863100,2229962,,-0.0063,-14227
2016/12/14,3,0,1472170,1472170,-0.0012,10596,0,10597,-12398,-13,-1814.62,-1814.65,net: 宝钢: +4k,0,976885,,0.011,288254,863100,2251552,,0.0097,21590
2016/12/15,4,0,1459070,1459070,-0.0089,-11850.01,-11850.01,0,-1266,119.4167,-12996.59,-13099.35,"中信 -7.5, 广大 -7.5, 宝钢 -3, 山西证: +0.7, 中航: +4.6, 昆仑 +1.2, 昆州茅台",1053304,0,-0.011,,1341558,863100,2249737,,-0.0008,-1815
2016/12/16,5,0,1459882,1459882,0.0006,7703.36,4919.95,2783.41,-6969,77,811.36,811.39,,526530,907705,0.009,0.003,960383,863100,2236638,,-0.0058,-13099
2016/12/19,1,0,1452902,1452902,-0.0048,-2698.18,-1172.47,-1525.71,-4374,92.25,-6979.93,-6979.94,Only 皖新传媒 +1k. Chasers lost money.,344770,527432,-0.003,-0.003,777721,863100,2237449,,0.0004,811
2016/12/20,2,0,1450277,1450277,-0.0018,306.76,587.46,-280.7,-3056,123.8889,-2625.35,-2625.35, ,720227,33360,0.001,-0.008,1464588,863100,2230469,,-0.0031,-6980
2016/12/21,3,0,1446885,1446885,-0.0023,-10745.09,0,-10745.09,7178,,-3567.09,-3391.37,"Wed. Sold all positions too early. (Lost 1% on the sold positions, the first day since last tue that the mtm was positive which means that market was going up). Third consec day that selling lost money.",0,1254099,,-0.009,210488,863100,2227844,,-0.0012,-2625
2016/12/22,4,0,1447036,1447036,0.0001,0,0,0,0,151.14,151.14,151.14,No trade done. All cash parked in gc @ 6.82%,0,0,,,210488,863100,2224453,,-0.0015,-3391
2016/12/23,5,0,1442931,1442931,-0.0028,-4359.14,-4359.14,0,0,254.22,-4104.92,-4104.93,"Down 1.3% on the delta bought. Chasing on a bearish day, there was profit taking. Delta control was well. Strateg diversfication needed.",346127,0,-0.013,,556615,863100,2224604,,0.0001,151
2016/12/26,1,0,1440576,1440576,-0.0016,-1748.46,0,-1748.46,-721,114.3333333,-2355.13,-2355.13,Market opened lower and rushed lower before being saved to close at the daily high.,0,339817,,-0.005,216798,863100,2218144,,0,-6460
2016/12/27,2,0,1440719,1440719,0.0001,0,0,0,0,142.51,142.51,142.51,Did not trade on this day due to ytd high p%. ,0,0,,,216798,863100,2218286,,0.0001,143
2016/12/28,3,0,1840643,1840643,0,-242,-242,0,0,166.21,-75.79,-75.79,Buying at pmopen was not good. Need more balance between pm open and pmGen (cash injection of 400k rmb on this morning),34152,0,-0.007,,250950,863100,2618211,400000,0,-76
2016/12/29,4,0,1840695,1840695,0,19.37,-210.23,229.6,-367,400.0555555,52.43,52.42,pmfirst10 was negative and too few breaks were observable when trading. GC done @ 24%,17688,17395,-0.012,0.013,251243,863100,2618263,,0,52
2016/12/30,5,0,1841834,1841834,0.0006,0,0,0,-43,1182,1139,1139,No trade done. All cash parked in gc,0,0,,,251243,863100,2619402,,0.0004,1139
2017/1/3,2,0,1842078,1842078,0.0001,-9.22,0,0,87,166.17,243.95,243.95,No buys due to broken monitor. Cash @ 3.75,4650,33992,0,0,221901,864300,2620727,,0.0005,1325
2017/1/4,3,0,1844516,1844516,0.0013,220.3,220.3,0,2045,172.5,2437.8,2437.8,IPO MTM,141760,0,0.002,,363661,864300,2623165,,0.0009,2438
2017/1/5,4,0,1844667,1844667,0.0001,551.63,292.46,259.17,-550,149.097222,150.73,150.73,"Selling well done. Couldn't sell 中天城投, reason being ytd got pulled up -> stay away from -amco stocks.",37700,141220,0.008,0.002,260141,864300,2623315,,0.0001,151
2017/1/6,5,0,1846435,1846435,0.001,195.8,641.64,-445.84,1335,231.611111,1762.41,1768.2,,265890,38200,0.002,-0.012,487831,864500,2625264,,0.0007,1948
2017/1/9,1,0,1839518,1839518,-0.0037,-7280.15,-6001.5,-1278.65,270,92.43055555,-6917.72,-6916.8,Bad trading. F1 needs to cover opc to be tradable. Amcoy also needs to be >0 to ensure rebound capability.,299120,265090,-0.02,-0.005,521861,864500,2618347,,-0.0026,-6917
2017/1/10,2,0,1827905,1827905,-0.0063,-638.79,0,0,-11050,74.638888,-11614.15,-11613.48,"MTM on 中科创达 is insane, it is devasting even for that amount of delta",0,280940,,0,240921,864500,2606734,,-0.0044,-11613
