V1		bench	correl
1	sh000001	上证指数	sh000001	1
2	sh000016	上证50	sh000016	1
3	sh000300	沪深300	sh000300	1
4	sh000905	中证500	sh000905	1
5	sh510050	50ETF	sh000016	0.973576341648908
6	sh600000	浦发银行	sh000016	0.825132001080494
7	sh600006	东风汽车	sh000905	0.645508932992693
8	sh600008	首创股份	sh000905	0.680216920547118
9	sh600009	上海机场	sh000300	0.644808600956079
10	sh600010	包钢股份	sh000001	0.600739887906835
11	sh600011	华能国际	sh000001	0.618106291314731
12	sh600012	皖通高速	sh000905	0.586440091992263
13	sh600015	华夏银行	sh000016	0.819466604163392
14	sh600016	民生银行	sh000016	0.792265466319854
15	sh600017	日照港	sh000905	0.699261941744268
16	sh600018	上港集团	sh000001	0.574951275591154
17	sh600019	宝钢股份	sh000001	0.714650438299335
18	sh600021	上海电力	sh000001	0.619844209030197
19	sh600022	山东钢铁	sh000001	0.645831431430929
20	sh600023	浙能电力	sh000001	0.72991127799893
21	sh600026	中远海能	sh000001	0.707063072659024
22	sh600027	华电国际	sh000001	0.620935294479545
23	sh600028	中国石化	sh000016	0.737815337500087
24	sh600029	南方航空	sh000001	0.696101342004915
25	sh600030	中信证券	sh000016	0.82824372572745
26	sh600031	三一重工	sh000300	0.745410472240272
27	sh600036	招商银行	sh000016	0.819161916135156
28	sh600037	歌华有线	sh000905	0.744510339920121
29	sh600038	中直股份	sh000905	0.67610525525704
30	sh600039	四川路桥	sh000905	0.644171507953655
31	sh600048	保利地产	sh000016	0.717020393296018
32	sh600050	中国联通	sh000001	0.685144193522528
33	sh600053	九鼎投资	sh000905	0.437571149715888
34	sh600056	中国医药	sh000905	0.677443044568802
35	sh600058	五矿发展	sh000905	0.635698554728505
36	sh600059	古越龙山	sh000905	0.734389426786447
37	sh600060	海信电器	sh000905	0.665237153841182
38	sh600061	国投安信	sh000905	0.632133789458641
39	sh600062	华润双鹤	sh000905	0.653256327184066
40	sh600064	南京高科	sh000001	0.736211103664294
41	sh600066	宇通客车	sh000300	0.552706695531812
42	sh600067	冠城大通	sz399001	0.721505564870806
43	sh600068	葛洲坝	sh000001	0.706654314541294
44	sh600073	上海梅林	sh000905	0.632561278163196
45	sh600074	保千里	sh000905	0.512465457170038
46	sh600079	人福医药	sh000905	0.604559109500668
47	sh600085	同仁堂	sh000905	0.634311870613138
48	sh600086	东方金钰	sh000905	0.565412511054837
49	sh600088	中视传媒	sh000905	0.684109226951157
50	sh600089	特变电工	sh000001	0.706032359043173
51	sh600094	大名城	sh000905	0.486643421331182
52	sh600098	广州发展	sh000905	0.663879291741511
53	sh600100	同方股份	sh000905	0.740329169330928
54	sh600104	上汽集团	sh000300	0.662854434385646
55	sh600108	亚盛集团	sh000905	0.672365075989295
56	sh600109	国金证券	sh000300	0.718286053769747
57	sh600111	北方稀土	sh000905	0.613887571811963
58	sh600112	*ST天成	sh000905	0.683264579582805
59	sh600115	东方航空	sh000001	0.665226227746923
60	sh600118	中国卫星	sh000905	0.68838462225445
61	sh600120	浙江东方	sh000905	0.639569611059908
62	sh600122	宏图高科	sh000905	0.685694736186186
63	sh600125	铁龙物流	sh000905	0.688877074050959
64	sh600126	杭钢股份	sh000905	0.627480000676057
65	sh600138	中青旅	sh000905	0.684322446044799
66	sh600141	兴发集团	sh000905	0.710896471873221
67	sh600143	金发科技	sh000905	0.719534564858872
68	sh600150	中国船舶	sh000001	0.661852485222712
69	sh600151	航天机电	sh000905	0.694717943194976
70	sh600153	建发股份	sh000300	0.624169442501424
71	sh600157	永泰能源	sh000001	0.650139804251481
72	sh600158	中体产业	sh000905	0.645588551232481
73	sh600160	巨化股份	sh000905	0.667871937804187
74	sh600161	天坛生物	sh000905	0.639225846708192
75	sh600166	福田汽车	sh000905	0.735034069787245
76	sh600169	太原重工	sh000905	0.686574719108485
77	sh600170	上海建工	sh000001	0.6585926245568
78	sh600171	上海贝岭	sh000905	0.749993858749755
79	sh600175	美都能源	sh000905	0.607217830231123
80	sh600176	中国巨石	sh000905	0.692478623290989
81	sh600177	雅戈尔	sh000300	0.757104364133522
82	sh600180	瑞茂通	sh000905	0.568655469078335
83	sh600183	生益科技	sh000905	0.732230258156259
84	sh600184	光电股份	sh000905	0.614710327406115
85	sh600187	国中水务	sh000905	0.61819773543915
86	sh600188	兖州煤业	sh000300	0.719513888694845
87	sh600195	中牧股份	sh000905	0.725008521574773
88	sh600196	复星医药	sh000905	0.63798138842644
89	sh600198	大唐电信	sh000905	0.686152703705764
90	sh600200	江苏吴中	sh000905	0.580535551712486
91	sh600201	生物股份	sh000905	0.648874375706067
92	sh600208	新湖中宝	sz399001	0.641021540581503
93	sh600216	浙江医药	sh000905	0.730964503591926
94	sh600219	南山铝业	sh000001	0.76764093628782
95	sh600220	江苏阳光	sh000905	0.695929917110643
96	sh600221	海南航空	sh000001	0.658594164120749
97	sh600233	圆通速递	sh000905	0.623681072295077
98	sh600236	桂冠电力	sh000905	0.662606363080451
99	sh600240	华业资本	sh000905	0.626331532521496
100	sh600251	冠农股份	sh000905	0.705509516009506
101	sh600252	中恒集团	sh000905	0.605473772849926
102	sh600256	广汇能源	sh000905	0.617761215648107
103	sh600259	广晟有色	sh000905	0.527631475944548
104	sh600260	凯乐科技	sh000905	0.675065298996265
105	sh600266	北京城建	sz399001	0.691363874729345
106	sh600267	海正药业	sh000905	0.662166502405702
107	sh600270	外运发展	sh000905	0.722822054434279
108	sh600271	航天信息	sh000905	0.683822768351531
109	sh600276	恒瑞医药	sz399006	0.452905692562264
