ticker		cashDiv	cashDivDate	stockDiv	stockDivDate	lastPrice	adjFactor	adjPrice	inList
1	sz000001	平安银行	1.36	2018-07-13	0	2018-07-13	8.88	0.984684684684685	8.744	TRUE
2	sz000919	金陵药业	1.7	2018-07-13	0	2018-07-13	7.38	0.976964769647697	7.21	TRUE
3	sz000983	西山煤电	0.4	2018-07-13	0	2018-07-13	6.67	0.99400299850075	6.63	TRUE
4	sz002048	宁波华翔	1.5	2018-07-13	0	2018-07-13	12.13	0.987633965375103	11.98	TRUE
5	sz002142	宁波银行	4	2018-07-13	0	2018-07-13	16.26	0.97539975399754	15.86	TRUE
6	sz002251	步步高	1	2018-07-13	0	2018-07-13	10.8	0.990740740740741	10.7	TRUE
7	sz002375	亚厦股份	0.4	2018-07-13	0	2018-07-13	5.13	0.992202729044834	5.09	TRUE
8	sz300055	万邦达	0.7	2018-07-13	0	2018-07-13	11.46	0.993891797556719	11.39	TRUE
9	sz300267	尔康制药	0.2	2018-07-13	0	2018-07-13	4.3	0.995348837209302	4.28	TRUE
10	sz300287	飞利信	0.57	2018-07-13	0	2018-07-13	6.77	0.991580502215657	6.713	TRUE
11	sz300315	掌趣科技	0.1	2018-07-13	0	2018-07-13	3.97	0.997481108312343	3.96	TRUE
12	sh600010	包钢股份	0.05	2018-07-13	0	2018-07-13	1.53	0.996732026143791	1.525	TRUE
13	sh600029	南方航空	1	2018-07-13	0	2018-07-13	7.68	0.986979166666667	7.58	TRUE
14	sh600036	招商银行	8.4	2018-07-13	0	2018-07-13	26.04	0.967741935483871	25.2	TRUE
15	sh600525	长园集团	0.9	2018-07-13	0	2018-07-13	10.05	0.991044776119403	9.96	TRUE
16	sh600606	绿地控股	2.5	2018-07-13	0	2018-07-13	6.11	0.959083469721768	5.86	TRUE
17	sh600639	浦东金桥	2.6	2018-07-13	0	2018-07-13	11.79	0.977947413061917	11.53	TRUE
18	sh600737	中粮糖业	1.7	2018-07-13	0	2018-07-13	7.44	0.977150537634409	7.27	TRUE
19	sh601169	北京银行	2.67	2018-07-13	0	2018-07-13	5.84	0.954280821917808	5.573	TRUE
20	sh601992	金隅集团	0.48	2018-07-13	0	2018-07-13	3.34	0.98562874251497	3.292	TRUE
