-------------------------------------------------------------------------------------------------------

证券名称        买卖标志        委托价格        委托数量        成交价格        成交数量        状态说明        委托时间        委托编号        证券代码        股东代码          备注              撤单数量        
秦港申购        配售申购        2.340           98000           0.000           0               已报            10:17:29        58641           780326          E046935023                          0               
上汽集团        证券卖出        29.170          12900           0.000           0               已撤            14:24:59        147124          600104          E046935023        卖券还款          12900           
上汽集团        证券卖出        29.160          12900           29.160          12900           已成            14:25:34        147566          600104          E046935023        卖券还款          0               
格力电器        证券卖出        37.820          8400            37.820          8400            已成            14:26:58        148694          000651          0604689138        卖券还款          0               
中国建筑        证券卖出        9.990           15800           9.990           15800           已成            14:38:02        155091          601668          E046935023        卖出担保品        0               
保利地产        证券卖出        10.120          12500           10.120          12500           已成            14:38:14        155196          600048          E046935023        卖出担保品        0               
中国平安        证券卖出        52.000          2300            52.012          2300            已成            14:38:31        155374          601318          E046935023        卖出担保品        0               
海康威视        证券卖出        28.800          2500            28.800          2500            已成            14:38:41        155467          002415          0604689138        卖出担保品        0               
广汽集团        证券卖出        25.980          2400            25.980          2400            已成            14:38:52        155586          601238          E046935023        卖出担保品        0               
东方证券        证券卖出        16.020          5900            16.020          5900            已成            14:39:00        155668          600958          E046935023        卖出担保品        0               
招商银行        证券卖出        25.660          5000            25.660          5000            已成            14:39:07        155747          600036          E046935023        卖出担保品        0               
贵州茅台        证券卖出        473.820         400             473.820         400             已成            14:39:19        155871          600519          E046935023        卖出担保品        0               
50ETF           证券卖出        2.678           200000          2.678           200000          已成            14:45:32        160396          510050          E046935023        卖出担保品        0               
