D,T,O,H,L,C,V
2/9/2017,931,3164.68,3164.68,3162.57,3163.88,352563
2/9/2017,932,3162.82,3163.92,3162.61,3163.76,147641
2/9/2017,933,3164.19,3164.63,3163.49,3164.28,152497
2/9/2017,934,3164.43,3165.44,3164.42,3165.33,147927
2/9/2017,935,3165.61,3167.02,3165.55,3167.02,138836
2/9/2017,936,3166.81,3167.98,3166.81,3167.66,134681
2/9/2017,937,3168.03,3168.92,3167.61,3168.92,142577
2/9/2017,938,3168.74,3168.76,3167.96,3168.6,135591
2/9/2017,939,3168.86,3168.9,3168.15,3168.75,136496
2/9/2017,940,3169.07,3169.52,3168.39,3169.52,135921
2/9/2017,941,3169.52,3169.65,3168.93,3168.93,148089
2/9/2017,942,3169.44,3170.19,3168.78,3169.5,136297
2/9/2017,943,3169.83,3170.66,3169.46,3170.03,129821
2/9/2017,944,3170.25,3171.25,3170.25,3171.25,135365
2/9/2017,945,3171.41,3172.66,3171.27,3172.66,126059
2/9/2017,946,3172.53,3173.83,3172.53,3173.83,137800
2/9/2017,947,3173.96,3174.75,3173.77,3174.4,145509
2/9/2017,948,3174.39,3175.05,3174.01,3174.62,148688
2/9/2017,949,3174.46,3174.94,3173.75,3173.75,144523
2/9/2017,950,3174.51,3174.51,3173.65,3174.26,139108
2/9/2017,951,3174.17,3174.36,3173.72,3173.95,127217
2/9/2017,952,3173.77,3173.77,3172.79,3173.31,138133
2/9/2017,953,3172.95,3173.22,3172.58,3172.77,128242
2/9/2017,954,3172.87,3172.87,3171.86,3172.1,115559
2/9/2017,955,3172.57,3173.27,3172.25,3172.4,118178
2/9/2017,956,3172.71,3173.73,3172.51,3173.56,117227
2/9/2017,957,3173.94,3174.71,3173.69,3174.16,113086
2/9/2017,958,3174.28,3174.8,3174,3174.61,123017
2/9/2017,959,3174.97,3175.33,3174.38,3175.13,135364
2/9/2017,1000,3174.84,3175.34,3174.36,3175.04,132436
2/9/2017,1001,3174.97,3175.3,3174.49,3175.11,117811
2/9/2017,1002,3175.03,3175.39,3174.36,3175.07,107790
2/9/2017,1003,3174.58,3175.51,3174.58,3175.36,113250
2/9/2017,1004,3175.35,3175.68,3174.54,3175.38,115852
2/9/2017,1005,3175.89,3176.71,3175.48,3176.71,117417
2/9/2017,1006,3177,3178.6,3176.32,3178.6,140387
2/9/2017,1007,3178.58,3179.82,3178.29,3179.82,152310
2/9/2017,1008,3179.45,3181.08,3179.45,3180.97,179647
2/9/2017,1009,3181.13,3181.74,3180.64,3181.61,160839
2/9/2017,1010,3181.74,3182.35,3181.45,3182.35,149242
2/9/2017,1011,3182.15,3182.48,3181.81,3181.81,144469
2/9/2017,1012,3182.47,3182.94,3181.91,3182.68,128956
2/9/2017,1013,3182.56,3183.52,3182.45,3183.12,137478
2/9/2017,1014,3182.84,3184.61,3182.84,3184.37,146981
2/9/2017,1015,3184.45,3185.39,3184.45,3185.39,152548
2/9/2017,1016,3185.71,3186.27,3185.45,3186.27,148488
2/9/2017,1017,3186.07,3186.74,3185.85,3186.64,148995
2/9/2017,1018,3186.27,3186.57,3185.63,3185.9,155732
2/9/2017,1019,3185.81,3185.85,3184.49,3184.49,131250
2/9/2017,1020,3184.99,3184.99,3183.48,3183.72,122869
2/9/2017,1021,3184.04,3184.04,3182.81,3183.17,111755
2/9/2017,1022,3183.07,3183.07,3182.17,3182.5,107338
2/9/2017,1023,3182.54,3183.07,3182.12,3183.07,106786
2/9/2017,1024,3183.36,3184.04,3182.99,3183.87,103763
2/9/2017,1025,3183.8,3184.97,3183.64,3184.57,114094
2/9/2017,1026,3184.81,3186.19,3184.81,3186.19,135923
2/9/2017,1027,3186.22,3186.25,3185.83,3185.88,138991
2/9/2017,1028,3186.49,3186.49,3185.2,3185.81,119431
2/9/2017,1029,3185.48,3185.82,3184.48,3185.16,111393
2/9/2017,1030,3185.66,3185.66,3184.14,3184.14,108810
2/9/2017,1031,3184.82,3184.82,3183.79,3184.37,108071
2/9/2017,1032,3184.59,3184.59,3183.08,3183.08,100846
2/9/2017,1033,3183.65,3183.9,3183.33,3183.5,100619
2/9/2017,1034,3183.77,3183.77,3182.89,3183.05,92291
2/9/2017,1035,3182.91,3183.46,3182.47,3182.66,93754
2/9/2017,1036,3181.85,3182.9,3181.84,3182.43,94745
2/9/2017,1037,3182,3182.78,3181.55,3181.92,85131
2/9/2017,1038,3182.22,3182.37,3181.5,3181.54,89766
2/9/2017,1039,3181.97,3182.39,3180.86,3180.86,86754
2/9/2017,1040,3181.13,3181.4,3180.55,3180.75,89100
2/9/2017,1041,3180.78,3181.18,3180.17,3180.17,96214
2/9/2017,1042,3180.94,3180.94,3180.1,3180.49,100079
2/9/2017,1043,3180.31,3180.82,3179.61,3179.9,88111
2/9/2017,1044,3180.2,3180.87,3180.07,3180.49,86066
2/9/2017,1045,3180.66,3180.73,3179.9,3180.12,84668
2/9/2017,1046,3180.5,3181.11,3180.36,3180.36,74817
2/9/2017,1047,3180.16,3181.85,3180,3180.92,116682
2/9/2017,1048,3181.75,3182.91,3181.53,3182.91,103230
2/9/2017,1049,3182.59,3182.88,3182.26,3182.53,97323
2/9/2017,1050,3182.66,3183.23,3182.1,3182.11,87515
2/9/2017,1051,3182.18,3183.01,3182.16,3182.36,83510
2/9/2017,1052,3182.49,3182.88,3181.83,3182.09,81978
2/9/2017,1053,3181.72,3182.51,3181.43,3181.9,75757
2/9/2017,1054,3181.75,3182.18,3181.21,3181.36,74484
2/9/2017,1055,3180.97,3181.8,3180.84,3181.46,79522
2/9/2017,1056,3181.36,3181.8,3181.06,3181.06,71785
2/9/2017,1057,3181.41,3181.65,3180.97,3181.11,65420
2/9/2017,1058,3180.6,3181.46,3180.48,3180.48,63550
2/9/2017,1059,3180.45,3181.08,3179.97,3179.97,71320
2/9/2017,1100,3180.21,3180.45,3179.72,3180.16,66688
2/9/2017,1101,3180.07,3180.6,3179.85,3180.22,71122
2/9/2017,1102,3180.06,3180.12,3178.94,3179.09,67938
2/9/2017,1103,3179.58,3180.29,3179.11,3179.54,75916
2/9/2017,1104,3179.19,3179.94,3178.43,3178.56,73099
2/9/2017,1105,3178.32,3179.17,3178.01,3178.01,71605
2/9/2017,1106,3178.43,3178.6,3177.42,3177.91,74649
2/9/2017,1107,3177.92,3178.01,3177.39,3177.6,70045
2/9/2017,1108,3177.55,3178.05,3177.14,3177.37,70371
2/9/2017,1109,3177.43,3179.06,3177.4,3179.06,68634
2/9/2017,1110,3178.8,3179.09,3178.13,3178.38,69967
2/9/2017,1111,3178.55,3179.46,3178.55,3179.07,66702
2/9/2017,1112,3178.49,3179.35,3178.48,3178.98,73903
2/9/2017,1113,3178.74,3179.46,3178.7,3178.85,63902
2/9/2017,1114,3178.73,3180.19,3178.73,3179.39,61480
2/9/2017,1115,3179.74,3180.14,3179.17,3179.59,62791
2/9/2017,1116,3179.67,3180.17,3179.2,3179.77,60986
2/9/2017,1117,3179.85,3179.93,3178.99,3178.99,59020
2/9/2017,1118,3179.04,3179.61,3178.58,3178.61,65852
2/9/2017,1119,3178.86,3179.15,3178.12,3178.12,60353
2/9/2017,1120,3178.37,3178.77,3178.02,3178.02,54302
2/9/2017,1121,3177.9,3178.68,3177.67,3178.68,55307
2/9/2017,1122,3178.13,3178.61,3177.57,3178.04,63942
2/9/2017,1123,3178.15,3178.41,3177.45,3178.11,47632
2/9/2017,1124,3177.63,3178.31,3177.63,3177.76,55274
2/9/2017,1125,3178,3178.6,3177.66,3177.89,58506
2/9/2017,1126,3178.21,3178.59,3177.69,3178.11,50723
2/9/2017,1127,3177.62,3178.59,3177.45,3178,56977
