人民币: 余额:33.40  可用:33.40  参考市值:2752121.20  资产:2752154.60  盈亏:-204293.93 
-------------------------------------------------------------------------------------------------------

证券名称        证券数量        可卖数量        成本价         浮动盈亏         盈亏比例(%)        最新市值         当前价         今买数量        今卖数量        证券代码        股东代码          
万 科Ａ         4000            4000            37.500         -19080.00        -12.72             130920.00        32.730         0               0               000002          0604689138        
美的集团        6000            6000            58.486         -19056.26        -5.43              331860.00        55.310         0               0               000333          0604689138        
五 粮 液        500             500             82.980         -3940.00         -9.50              37550.00         75.100         0               0               000858          0604689138        
华大基因        400             400             158.820        -1564.00         -2.46              61964.00         154.910        0               0               300676          0604689138        
50ETF           60000           60000           3.134          -17188.21        -9.14              170880.00        2.848          0               0               510050          E046935023        
招商银行        11000           11000           34.145         -35582.04        -9.47              340010.00        30.910         0               0               600036          E046935023        
贵州茅台        1400            1400            748.935        -51737.03        -4.93              996772.00        711.980        0               0               600519          E046935023        
长江电力        17645           17645           16.160         -7058.00         -2.48              278085.20        15.760         0               0               600900          E046935023        
中国平安        4000            4000            75.480         -33840.00        -11.21             268080.00        67.020         0               0               601318          E046935023        
工商银行        20000           20000           7.562          -15248.39        -10.08             136000.00        6.800          0               0               601398          E046935023        
