Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1999	34.03	33.5	34.3	34.39	35.3	45.37	43.93	43.89	42.52	40.84	40.09	38.14
2000	42.82	47.99	49.92	51.13	54.02	55.22	58.21	58.13	54.83	56.31	59.89	59.14
2001	59.39	56.82	60.88	60.99	55.92	56.55	49.26	42.14	40.61	38.84	40.08	37.59
2002	34.31	35.11	37.16	39.08	38.75	44.47	42.4	43.02	40.4	38.23	36.46	34.5
2003	37.92	38.2	38.2	38.53	38.28	36.11	35.78	34.37	32.97	32.51	34	36.64
2004	38.91	40.89	42.49	38.95	28.73	26.65	26.49	25.68	26.75	25.34	25.69	24.29
2005	22.87	24.99	22.63	22.28	15.66	15.98	16.05	16.92	16.78	15.72	15.63	16.38
2006	17.61	18	17.72	19.42	19.69	19.91	20.03	20.38	21.41	22.86	26.13	33.38
2007	38.36	39.62	44.36	53.33	43.42	42.74	50.59	59.24	63.74	69.64	53.79	59.24
2008	49.4	49.21	39.45	42.06	25.89	20.64	20.93	18.13	18.68	14.09	15.23	14.86
2009	16.26	17.01	19.37	20.21	22.47	25.36	29.47	23.04	24.12	26.03	27.93	28.78
2010	26.24	27.54	27.54	25.42	19.93	18.47	19.86	19.85	20	22.61	21.51	21.6
2011	21.63	22.56	22.77	22.74	16.34	16.48	16.14	15.42	14.19	14.96	14.17	13.41
2012	14.01	14.86	13.86	14.7	12.66	11.9	11.28	11.03	11.25	11.17	10.71	12.3
2013	12.97	12.9	12.18	11.89	11.81	10.16	10.26	10.8	11.19	11.05	11.46	10.99
2014	10.57	10.73	10.66	10.65	9.76	9.8	10.58	10.68	11.48	11.8	13.14	15.99
