sh601318	中国平安
sh600036	招商银行
sh600519	贵州茅台
sh601166	兴业银行
sh600016	民生银行
sh601328	交通银行
sh601668	中国建筑
sh600000	浦发银行
sh600030	中信证券
sh601288	农业银行
sh600887	伊利股份
sh600837	海通证券
sh601169	北京银行
sh601398	工商银行
sh600104	上汽集团
sh601601	中国太保
sh601766	中国中车
sh601211	国泰君安
sh600048	保利地产
sh601988	中国银行
sh601818	光大银行
sh601390	中国中铁
sh601688	华泰证券
sh600028	中国石化
sh600050	中国联通
sh601186	中国铁建
sh600518	康美药业
sh601989	中国重工
sh601006	大秦铁路
sh600958	东方证券
sh601336	新华保险
sh601628	中国人寿
sh600999	招商证券
sh601857	中国石油
sh601901	方正证券
sh601088	中国神华
sh601985	中国核电
sh600340	华夏幸福
sh600111	北方稀土
sh600029	南方航空
sh601788	光大证券
sh600606	绿地控股
sh601800	中国交建
sh600485	信威集团
sh600100	同方股份
sh600547	山东黄金
sh601198	东兴证券
sh601229	上海银行
sh600919	江苏银行
sh601881	中国银河
