Date,Guohu,Brokerage,Stamp
2016/10/17,0,5,0
2016/10/27,0,5,0
2016/11/1,0,5,3.5
2016/11/1,0.82,12.71,0
2016/11/2,0.83,12.91,41.64
2016/11/2,0.63,9.76,0
2016/11/2,0.79,12.29,0
2016/11/2,0,11.41,0
2016/11/3,0.8,7.99,39.97
2016/11/3,0.63,6.32,31.59
2016/11/4,0,8.35,41.77
2016/11/5,0,5,0
2016/11/7,0,5,5.88
2016/11/7,0,5.9,0
2016/11/7,0.83,8.33,0
2016/11/8,0.42,5,20.9
2016/11/8,0.42,5,20.88
2016/11/8,0,5.9,29.48
2016/11/10,0.86,8.62,0
2016/11/14,0.63,6.29,0
2016/11/14,0,7.77,0
2016/11/14,0.88,8.83,0
2016/11/14,0.76,7.56,0
2016/11/14,0,9.16,0
2016/11/14,0.82,8.22,0
2016/11/14,0,5,0
2016/11/14,0.68,6.77,0
2016/11/14,0,6.89,0
2016/11/14,0,7,0
2016/11/14,0,7.71,0
2016/11/15,0,5.29,0
2016/11/15,0,5.19,0
2016/11/15,0,5.38,0
2016/11/15,0.58,5.8,0
2016/11/15,0.44,5,0
2016/11/15,0.8,7.99,39.96
2016/11/15,0.53,5.32,0
2016/11/15,0.65,6.51,0
2016/11/15,0.65,6.46,0
2016/11/15,0,7.12,35.58
2016/11/15,1.04,10.43,0
2016/11/15,0.5,5.01,0
2016/11/15,0,5,23.95
2016/11/15,0.68,6.8,33.99
2016/11/16,0,7.04,35.18
2016/11/16,0,5.39,26.93
2016/11/16,0.7,6.99,0
2016/11/16,0.22,5,11.04
2016/11/16,0,7.82,39.08
2016/11/16,0.29,5,14.61
2016/11/16,0.32,5,0
2016/11/16,0,7.8,38.99
2016/11/16,0.22,5,11.03
2016/11/16,0,5.24,26.18
2016/11/16,0,5,0
2016/11/16,0.29,5,0
2016/11/16,0.32,5,0
2016/11/16,0.28,5,0
2016/11/16,0,6.05,0
2016/11/16,0,5,0
2016/11/16,0.25,5,0
