360 SECURITY	sh601360
CHINA PETROLEUM & CHEMICAL	sh600028
JIANGSU HENGRUI MEDICINE	sh600276
AGRICULTURAL BANK OF CHINA	sh601288
CHINA RAILWAY CONSTRUCTION	sh601186
JIANGSU YANGHE BREWERY JOINT-STOCK	sz002304
ANHUI CONCH CEMENT	sh600585
CHINA SHENHUA ENERGY	sh601088
KWEICHOW MOUTAI	sh600519
BANK OF BEIJING	sh601169
CHINA STATE CONSTRUCTION ENGINEERING	sh601668
MIDEA GROUP	sz000333
BANK OF CHINA	sh601988
CHINA UNITED NETWORK COMMUNICATIONS	sh600050
NEW CHINA LIFE INSURANCE	sh601336
BANK OF COMMUNICATIONS	sh601328
CHINA VANKE	sz000002
PETROCHINA	sh601857
CHINA YANGTZE POWER	sh600900
PING AN BANK	sz000001
BAOSHAN IRON & STEEL	sh600019
CITIC SECURITIES	sh600030
PING AN INSURANCE  COMPANY OF	sh601318
CHINA CITIC BANK	sh601998
CONTEMPORARY AMPEREX TECHNOLOGY	sz300750
CHINA COMMUNICATIONS CONSTRUCTION	sh601800
CRRC	sh601766
POLY DEVELOPMENTS AND HOLDINGS	sh600048
CHINA CONSTRUCTION BANK	sh601939
FOSHAN HAITIAN FLAVOURING AND FOOD	sh603288
S.F. HOLDING	sz002352
CHINA EVERBRIGHT BANK	sh601818
FOXCONN INDUSTRIAL INTERNET	sh601138
SAIC MOTOR	sh600104
CHINA LIFE INSURANCE	sh601628
GREE ELECTRIC APPLIANCES INC OF ZHUHAI	sz000651
SHANGHAI INTERNATIONAL PORT	sh600018
CHINA MERCHANTS BANK	sh600036
GUOTAI JUNAN SECURITIES	sh601211
SHANGHAI PUDONG DEVELOPMENT BANK	sh600000
CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE	sz001979
HANGZHOU HIKVISION DIGITAL TECHNOLOGY	sz002415
WENS FOODSTUFF GROUP	sz300498
INDUSTRIAL AND COMMERCIAL BANK OF CHINA	sh601398
WULIANGYE YIBIN	sz000858
CHINA MINSHENG BANKING	sh600016
INDUSTRIAL BANK	sh601166
CHINA PACIFIC INSURANCE	sh601601
INNER MONGOLIA YILI INDUSTRIAL	sh600887
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS	sz300760
