Date,Time,Type,Broker,Currency,Exchage,Name,Ticker,Direction,Trade Status,Volume,Multiplier,Price,Cost,Abs(cost),过户费,Brokerage,印花税,Net Cost,Net Unit cost,CloseY,Current Cost,Unrealized PL,MTM,Unr/Delta,Note,PnL
2016/10/17,14:34:00,Stock,招商,CNY,SZ,海康威视,2415,B,C,200,1,24.72,4944,4944,0,5,0,-4949,-24.745,37.01,37.5,2551,98,51.60%,3.1%%佣金,-51.5349
2016/10/27,10:39:00,Stock,招商,CNY,SZ,五 粮 液,858,B,C,100,1,34.53,3453,3453,0,5,0,-3458,-34.58,65.6,65.3,3072,-30,89.00%,3.1%%佣金,32.5
2016/11/1,9:41:00,Stock,招商,CNY,SZ,五 粮 液,858,S,C,-100,1,34.99,-3499,3499,0,5,3.5,3490.5,-34.905,65.6,65.3,-3039.5,30,-86.90%,3.1%%佣金,XX
2016/11/1,14:12:00,Stock,招商,CNY,SH,华泰证券,601688,B,C,2000,1,20.5,41000,41000,0.82,12.71,0,-41013.53,-20.506765,19.3,19.25,-2513.53,-100,-6.10%,3.1%%佣金,571.09
2016/11/2,10:25:00,Stock,招商,CNY,SH,华泰证券,601688,S,C,-2000,1,20.82,-41640,41640,0.83,12.91,41.64,41584.62,-20.7923094,19.3,19.25,3084.62,100,7.40%,3.1%%佣金,XX
2016/11/2,10:42:00,Stock,招商,CNY,SH,贵州茅台,600519,B,C,100,1,314.81,31481,31481,0.63,9.76,0,-31491.39,-314.9138873,631,622.35,30743.61,-865,97.70%,3.1%%佣金,60.07
2016/11/2,13:18:00,Stock,招商,CNY,SH,上汽集团,600104,B,C,1700,1,23.33,39661,39661,0.79,12.29,0,-39674.09,-23.3376989,30.88,30.92,12889.91,68,32.50%,3.1%%佣金,244.15
2016/11/2,13:18:00,Stock,招商,CNY,SZ,海康威视,2415,B,C,1500,1,24.54,36810,36810,0,11.41,0,-36821.41,-24.5476074,37.01,37.5,19428.59,735,52.80%,3.1%%佣金,XX
2016/11/3,13:44:00,Stock,招商,CNY,SH,上汽集团,600104,S,C,-1700,1,23.51,-39967,39967,0.8,7.99,39.97,39918.24,-23.48131604,30.88,30.92,-12645.76,-68,-31.60%,2%% 佣金,XX
2016/11/3,14:53:00,Stock,招商,CNY,SH,贵州茅台,600519,S,C,-100,1,315.9,-31590,31590,0.63,6.32,31.59,31551.46,-315.514602,631,622.35,-30683.54,865,-97.10%,,XX
2016/11/4,9:42:00,Stock,招商,CNY,SZ,海康威视,2415,S,C,-1700,1,24.57,-41769,41769,0,8.35,41.77,41718.88,-24.54051541,37.01,37.5,-22031.12,-833,-52.70%,,XX
2016/11/5,13:32:00,Stock,招商,CNY,SZ,崇达技术,2815,B,C,100,1,57.3,5730,5730,0,5,0,-5735,-57.35,29.97,30.53,-2682,56,-46.80%,,134.12
2016/11/7,9:38:00,Stock,招商,CNY,SZ,崇达技术,2815,S,C,-100,1,58.8,-5880,5880,0,5,5.88,5869.12,-58.6912,29.97,30.53,2816.12,-56,47.90%,,XX
2016/11/7,13:44:00,Stock,招商,CNY,SZ,双鹭药业,2038,B,C,1000,1,29.5,29500,29500,0,5.9,0,-29505.9,-29.5059,38.08,40.06,10554.1,1980,35.80%,,-60.28
2016/11/7,13:44:00,Stock,招商,CNY,SH,隆基股份,601012,B,C,3000,1,13.88,41640,41640,0.83,8.33,0,-41649.16,-13.8830536,32.03,33.47,58760.84,4320,141.10%,,73.22
2016/11/8,13:44:00,Stock,招商,CNY,SH,隆基股份,601012,S,C,-1500,1,13.93,-20895,20895,0.42,5,20.9,20868.68,-13.91245473,32.03,33.47,-29336.32,-2160,-140.40%,,XX
2016/11/8,13:44:00,Stock,招商,CNY,SH,隆基股份,601012,S,C,-1500,1,13.92,-20880,20880,0.42,5,20.88,20853.7,-13.90246827,32.03,33.47,-29351.3,-2160,-140.60%,,XX
2016/11/8,13:26:00,Stock,招商,CNY,SZ,双鹭药业,2038,S,C,-1000,1,29.481,-29481,29481,0,5.9,29.48,29445.62,-29.4456238,38.08,40.06,-10614.38,-1980,-36.00%,,XX
2016/11/10,9:33:00,Stock,招商,CNY,SH,山东黄金,600547,B,C,1000,1,43.08,43080,43080,0.86,8.62,0,-43089.48,-43.0894776,30.13,29.92,-13169.48,-210,-30.60%,,XX
2016/11/14,9:40:00,Stock,招商,CNY,SH,贵州茅台,600519,B,C,100,1,314.55,31455,31455,0.63,6.29,0,-31461.92,-314.619201,631,622.35,30773.08,-865,97.80%,"Bad buying. Monday AM first10 down, don't trade. Buy on the PM ok, Tuesday rebound for big caps. ",XX
2016/11/14,9:40:00,Stock,招商,CNY,SZ,欧菲光,2456,B,C,1000,1,38.83,38830,38830,0,7.77,0,-38837.77,-38.837766,21.86,22.25,-16587.77,390,-42.70%,,560.84
2016/11/14,9:44:00,Stock,招商,CNY,SH,长久物流,603569,B,C,800,1,55.2,44160,44160,0.88,8.83,0,-44169.72,-55.212144,25.09,25.33,-23905.72,192,-54.10%,,XX
2016/11/14,9:46:00,Stock,招商,CNY,SH,新华文轩,601811,B,C,1300,1,29.07,37791,37791,0.76,7.56,0,-37799.31,-29.0763954,13.35,13.49,-20262.31,182,-53.60%,,2113.93
2016/11/14,9:46:00,Stock,招商,CNY,SZ,崇达技术,2815,B,C,700,1,65.44428571,45811,45811,0,9.16,0,-45820.16,-65.45737457,29.97,30.53,-24449.16,392,-53.40%,,XX
2016/11/14,9:53:00,Stock,招商,CNY,SH,安图生物,603658,B,C,600,1,68.47,41082,41082,0.82,8.22,0,-41091.04,-68.4850634,50.38,52.33,-9693.04,1170,-23.60%,"last Friday low close, no meaningful recovery, dropped -3572",XX
2016/11/14,9:58:00,Stock,招商,CNY,SZ,泸州老窖,568,B,C,700,1,33.95,23765,23765,0,5,0,-23770,-33.95714286,59.28,60.01,18237,511,76.70%,,148.05
