V1	cummax	cummin	C	perc	potential
sh000001	3192.34	3119.13	3131.11	0.163638847152029	0.00786462308893654
sh000016	2754.65	2683.05	2702.37	0.269832402234633	0.00609835070697229
sh000300	3937.02	3839.93	3854.86	0.153774848079105	0.00872016104346196
sh000905	6169.3	6008.51	6017.69	0.057093102804897	0.0118342752783878
sh510050	2.751	2.676	2.694	0.239999999999998	0.0072383073496658
sh600000	11.82	11.53	11.53	0	0.0125758889852561
sh600004	15.68	15.02	15.46	0.666666666666668	-0.00711513583441148
sh600006	5	4.85	4.92	0.466666666666667	0.00101626016260159
sh600007	14.46	13.97	14.1	0.265306122448977	0.00815602836879425
sh600008	5.35	5	5.01	0.028571428571428	0.032934131736527
sh600009	50.02	47.76	47.86	0.04424778761062	0.0215211032177183
sh600010	2.21	2.15	2.18	0.500000000000004	-2.22044604925031e-16
sh600011	6.88	6.05	6.33	0.337349397590362	0.0213270142180095
sh600012	9.61	9.19	9.26	0.166666666666667	0.0151187904967602
sh600015	8.95	8.77	8.81	0.222222222222228	0.00567536889897835
sh600016	8.05	7.88	7.92	0.235294117647058	0.00568181818181812
sh600017	3.74	3.61	3.7	0.692307692307693	-0.0067567567567568
sh600018	7.41	6.89	7.35	0.884615384615384	-0.0272108843537414
sh600019	8.78	8.21	8.23	0.035087719298245	0.0321992709599028
sh600021	8.89	8.59	8.59	0	0.0174621653084983
sh600022	2.02	2.02	2.02	NA	0
sh600023	5.57	5.43	5.45	0.142857142857146	0.00917431192660545
sh600026	5.47	5.35	5.39	0.333333333333333	0.00371057513914663
sh600027	3.8	3.6	3.65	0.249999999999999	0.0136986301369864
sh600028	6.55	6.26	6.43	0.586206896551724	-0.00388802488335926
sh600029	10.75	10.06	10.21	0.217391304347827	0.0190989226248777
sh600030	19.38	18.62	19.01	0.513157894736844	-0.000526038926880634
sh600031	8.27	7.87	8.05	0.450000000000002	0.00248447204968949
sh600036	29.61	28.55	28.76	0.198113207547171	0.0111265646731571
sh600037	12.97	12.3	12.48	0.26865671641791	0.0124198717948718
sh600038	51.54	47.75	47.89	0.036939313984169	0.0366464815201502
sh600039	3.8	3.68	3.68	0	0.0163043478260869
sh600048	14.05	13.21	13.69	0.57142857142857	-0.00438276113951785
sh600050	5.81	5.56	5.58	0.0800000000000018	0.0188172043010753
sh600053	26.99	24.79	25.07	0.127272727272728	0.0327084164339848
sh600056	24.88	23.62	23.95	0.261904761904761	0.012526096033403
sh600057	8.35	7.92	8.24	0.744186046511629	-0.012742718446602
sh600058	11.63	10.26	11.18	0.671532846715328	-0.0210196779964221
sh600060	16.26	15.32	15.94	0.659574468085105	-0.00941028858218307
sh600061	12.96	12.03	12.09	0.0645161290322585	0.033498759305211
sh600062	24.81	23.18	23.79	0.374233128834356	0.00861706599411516
sh600066	22.54	20.65	21.9	0.661375661375661	-0.0139269406392694
sh600068	8.86	8.43	8.46	0.0697674418604678	0.021867612293144
sh600072	13.98	12.91	13.75	0.785046728971962	-0.0221818181818182
sh600074	2.07	1.98	2	0.222222222222223	0.0125
sh600079	16.18	15.12	15.74	0.584905660377359	-0.00571791613723005
sh600085	38.15	33.74	37.41	0.83219954648526	-0.0391606522320235
sh600086	10.04	10.04	10.04	NA	0
sh600089	8.92	8.7	8.72	0.0909090909090968	0.0103211009174309
sh600090	8.02	7.65	7.78	0.351351351351352	0.00706940874035977
sh600093	15.55	14.05	14.08	0.0199999999999996	0.0511363636363638
sh600094	7.31	7.17	7.24	0.500000000000003	0
sh600098	6.23	6.07	6.09	0.124999999999997	0.00985221674876846
sh600100	11.17	10.38	10.43	0.063291139240505	0.0330776605944392
sh600104	34.38	33	33.9	0.652173913043476	-0.0061946902654868
sh600109	9.22	8.44	8.98	0.692307692307693	-0.0167037861915368
sh600110	8.42	7.86	7.88	0.035714285714285	0.0329949238578682
sh600111	13.19	12.65	12.74	0.166666666666667	0.0141287284144427
sh600115	7.31	6.91	6.93	0.049999999999999	0.025974025974026
sh600118	23.93	22.69	23.06	0.298387096774192	0.0108412836079794
sh600120	21.83	20.18	20.45	0.163636363636364	0.0271393643031785
sh600125	9.15	8.67	8.74	0.145833333333334	0.0194508009153318
sh600126	7.17	6.48	6.68	0.289855072463767	0.0217065868263473
sh600138	24.22	22.91	23.7	0.603053435114504	-0.0056962025316456
sh600143	6.03	5.78	5.79	0.0399999999999991	0.0198618307426599
sh600150	21.2	18.38	20.45	0.734042553191489	-0.0322738386308069
sh600153	11.36	10.91	11.04	0.288888888888887	0.00860507246376807
sh600155	9.87	9.34	9.37	0.0566037735849045	0.0250800426894344
sh600157	3.25	3.02	3.02	0	0.0380794701986755
sh600158	11.64	11.64	11.64	NA	0
sh600160	12.29	11.34	11.49	0.157894736842106	0.0282854656222802
sh600161	29.75	28.62	28.98	0.31858407079646	0.00707384403036593
sh600166	2.52	2.45	2.47	0.285714285714287	0.00607287449392713
sh600167	26.43	24.92	25.55	0.417218543046358	0.00489236790606662
sh600170	3.75	3.69	3.7	0.16666666666667	0.00540540540540535
sh600172	9.04	8.08	8.13	0.0520833333333341	0.0528905289052888
sh600175	4.36	4.19	4.27	0.470588235294113	0.00117096018735374
sh600176	15.95	14.5	15	0.344827586206897	0.0149999999999999
sh600177	8.52	8.38	8.38	0	0.00835322195704036
sh600179	16.66	15.65	16.32	0.663366336633663	-0.010110294117647
sh600180	10.36	9.9	9.92	0.0434782608695644	0.0211693548387095
sh600183	17.88	16.38	16.65	0.18	0.0288288288288288
sh600185	5.5	5.23	5.29	0.222222222222221	0.0141776937618148
sh600188	14.27	13.05	13.12	0.0573770491803267	0.0411585365853659
sh600196	46.28	43.3	44.92	0.543624161073826	-0.00289403383793418
sh600198	8.45	7.95	7.97	0.0399999999999992	0.028858218318695
sh600201	27.2	26.18	26.71	0.519607843137256	-0.0007487832272558
sh600208	4.66	4.35	4.39	0.129032258064516	0.0261958997722096
sh600219	3.21	3.13	3.14	0.125000000000003	0.00955414012738842
sh600221	3.25	3.25	3.25	NA	0
sh600226	4.56	4.56	4.56	NA	0
sh600230	42.62	40.51	41.21	0.331753554502371	0.00861441397718998
sh600231	4.02	3.75	3.76	0.0370370370370363	0.0332446808510638
sh600233	16.45	15.73	15.84	0.152777777777777	0.0157828282828283
sh600236	5.7	5.54	5.57	0.187500000000001	0.00897666068222613
sh600240	8.66	8.21	8.24	0.0666666666666653	0.0236650485436893
sh600252	4.03	3.91	3.93	0.166666666666667	0.0101781170483461
sh600256	3.81	3.81	3.81	NA	0
sh600258	29.5	27.8	29.02	0.717647058823529	-0.0127498277050311
sh600259	32.94	31.63	32	0.282442748091604	0.00890624999999989
sh600260	33.46	30.8	30.95	0.0563909774436085	0.0381260096930534
sh600266	11.87	11.18	11.21	0.0434782608695669	0.0280999107939337
sh600267	16.45	15.52	15.8	0.301075268817206	0.0117088607594935
sh600269	4.83	4.71	4.72	0.0833333333333315	0.0105932203389829
sh600270	19.16	18.52	18.81	0.453124999999998	0.00159489633173848
sh600271	27.73	26.25	26.29	0.0270270270270264	0.0266260935717004
sh600273	8.61	8.33	8.38	0.178571428571432	0.010739856801909
sh600276	87.89	82.3	84.11	0.323792486583184	0.0117108548329568
sh600277	5.65	5.38	5.46	0.296296296296296	0.0100732600732603
sh600282	4.54	4.24	4.25	0.0333333333333326	0.0329411764705885
sh600291	19.83	18.56	18.91	0.275590551181104	0.0150713907985194
sh600295	11.35	10.6	10.84	0.32	0.0124538745387455
sh600297	7.45	6.84	6.94	0.163934426229509	0.0295389048991352
sh600298	32.66	30.65	32.32	0.83084577114428	-0.0205754950495051
sh600299	13.78	12.65	13.03	0.336283185840707	0.0141980046047583
sh600307	2.42	2.33	2.35	0.222222222222223	0.0106382978723405
sh600309	36.44	36.44	36.44	NA	0
sh600312	9.1	8.72	8.75	0.0789473684210512	0.0182857142857142
sh600315	42.09	38.8	40.88	0.632218844984803	-0.0106409001956947
sh600316	14.58	13.07	13.86	0.523178807947019	-0.00252525252525249
sh600317	3.05	2.97	3	0.374999999999999	0.00333333333333319
sh600320	5.19	4.96	4.99	0.130434782608696	0.0170340681362726
sh600325	7.77	7.31	7.33	0.0434782608695662	0.0286493860845838
sh600329	15.25	14.31	14.81	0.531914893617022	-0.00202565833896007
sh600331	4.3	4.08	4.09	0.0454545454545445	0.0244498777506112
sh600332	30.47	29.21	29.48	0.214285714285714	0.0122116689280869
sh600335	10.93	10.35	10.53	0.310344827586206	0.0104463437796771
sh600337	5.44	5.3	5.33	0.214285714285715	0.00750469043151969
sh600338	32.88	31.08	31.82	0.411111111111111	0.00502828409805156
sh600339	4.16	3.96	4.05	0.449999999999999	0.00246913580246932
sh600340	33.68	32.05	32.16	0.0674846625766867	0.0219216417910448
sh600346	15.08	14.5	14.55	0.0862068965517254	0.0164948453608247
sh600348	7.34	6.87	6.93	0.127659574468084	0.0252525252525253
sh600350	5.75	5.54	5.56	0.0952380952380932	0.0152877697841727
sh600352	11.48	10.92	11.09	0.303571428571428	0.00991884580703339
sh600362	17.68	16.9	16.92	0.0256410256410296	0.021867612293144
sh600369	4.46	4.32	4.33	0.0714285714285701	0.0138568129330254
sh600372	16.34	15.42	15.76	0.369565217391304	0.00761421319796951
sh600373	15.95	15.36	15.38	0.0338983050847481	0.0178803641092327
sh600376	8.59	8.26	8.27	0.0303030303030297	0.0187424425634826
sh600377	9.66	9.4	9.42	0.0769230769230753	0.0116772823779194
sh600380	12.55	11.84	11.92	0.112676056338028	0.0230704697986577
sh600383	11.85	11.15	11.17	0.028571428571428	0.0295434198746642
sh600388	14.74	14.3	14.39	0.204545454545454	0.00903405142460034
sh600390	10.23	9.81	9.97	0.380952380952381	0.00501504513540607
sh600392	17.48	16.66	16.88	0.268292682926828	0.0112559241706163
sh600393	6.13	6.13	6.13	NA	0
sh600395	6.18	5.94	6	0.249999999999999	0.01
sh600398	11.8	11.28	11.39	0.211538461538463	0.0131694468832309
sh600400	6.71	6.36	6.37	0.028571428571428	0.0259026687598116
sh600403	4.68	4.51	4.64	0.764705882352941	-0.00969827586206895
sh600406	17.01	16.62	16.79	0.435897435897431	0.00148898153662902
sh600409	9.38	8.52	9.13	0.709302325581396	-0.0197152245345018
sh600415	5.36	5.13	5.15	0.0869565217391323	0.0184466019417475
sh600418	7.77	7.46	7.46	0	0.0207774798927614
sh600420	12.09	11.5	11.82	0.542372881355933	-0.00211505922165822
sh600426	16.93	15.71	16.11	0.327868852459016	0.0130353817504656
sh600428	4.81	4.59	4.61	0.0909090909090931	0.019522776572668
sh600435	11.47	10.8	10.99	0.283582089552238	0.01319381255687
sh600436	84.19	80.53	81.2	0.183060109289618	0.0142857142857142
sh600438	10.85	10.39	10.75	0.782608695652174	-0.0120930232558139
sh600446	17.45	16	16.02	0.0137931034482756	0.0440074906367043
